Det, Desc, TTC Camera (avg), TTC Lidar (avg), TTC Abs Delta (avg), Time (ms)
SHITOMASI, BRISK, 14.0053, 11.7337, 2.27155, 81411.1
SHITOMASI, BRIEF, 20.8022, 11.7337, 9.06851, 75920.7
SHITOMASI, ORB, 18.4192, 11.7337, 6.68546, 70593.5
SHITOMASI, FREAK, 13.6896, 11.7337, 1.95586, 82653
SHITOMASI, SIFT, 26.6872, 11.7337, 14.9534, 81783.8
HARRIS, BRISK, 24.9104, 11.7337, 13.1767, 42685.5
HARRIS, BRIEF, 53.8989, 11.7337, 42.1651, 36682.1
HARRIS, ORB, 50.4145, 11.7337, 38.6807, 37000.9
HARRIS, FREAK, 26.8452, 11.7337, 15.1115, 38054.9
HARRIS, SIFT, 22.2836, 11.7337, 10.5499, 38061
